ad_id,sub_bucket,race_of_focus
CR102679199029919744,1,PRES
CR102689644390383616,1,PRES
CR102699814872940544,1,PRES
CR102700639506661376,1,PRES
CR102730601198518272,1,PRES
CR102756989477584896,1,PRES
CR102807017256648704,1,PRES
CR102819936518275072,1,PRES
CR102912845250822144,1,PRES
CR102915868907798528,1,PRES
CR102947754745004032,1,PRES
CR10298506942087168,1,PRES
CR102999431791509504,1,PRES
CR103025270314762240,1,PRES
CR103047260547317760,1,PRES
CR103052208349642752,1,PRES
CR10306478401388544,1,PRES
CR103087392721731584,1,PRES
CR103103060762427392,1,PRES
CR10311701081620480,1,PRES
CR103128349529866240,1,PRES
CR103141543669399552,1,PRES
CR103157761465909248,1,PRES
CR103208339000786944,1,PRES
CR10321596686270464,1,PRES
CR103227305576366080,1,PRES
CR103329010401935360,1,PRES
CR103350450878676992,1,PRES
CR103371341599604736,1,PRES
CR103401578169368576,1,PRES
CR103441435465875456,1,PRES
CR103507131285635072,1,PRES
CR103541216146096128,1,PRES
CR103589594657718272,1,PRES
CR103610210500739072,1,PRES
CR103615433180971008,1,PRES
CR103672332907708416,1,PRES
CR103683328023986176,1,PRES
CR103688000948404224,1,PRES
CR103689925093752832,1,PRES
CR10369975197892608,1,PRES
CR103844956233269248,1,PRES
CR103912026442563584,1,PRES
CR103918073756516352,1,PRES
CR103918898390237184,1,PRES
CR103961779343720448,1,PRES
CR103984869087903744,1,PRES
CR104028024919293952,1,PRES
CR104029949064642560,1,PRES
CR104032148087898112,1,PRES
CR104108014390214656,1,PRES
CR104178383134392320,1,PRES
CR104205870925086720,1,PRES
CR104208894582063104,1,PRES
CR104213567506481152,1,PRES
CR10421927122305024,1,PRES
CR104229785302990848,1,PRES
CR104303452582051840,1,PRES
CR104364750355300352,1,PRES
CR104403508140179456,1,PRES
CR104424398861107200,1,PRES
CR104459033477382144,1,PRES
CR104526378564583424,1,PRES
CR104529127343652864,1,PRES
CR104546719529697280,1,PRES
CR104599770965737472,1,PRES
CR104604718768062464,1,PRES
CR104615713884340224,1,PRES
CR104630007535501312,1,PRES
CR104675087512240128,1,PRES
CR104742432599441408,1,PRES
CR104772669169205248,1,PRES
CR104802081105248256,1,PRES
CR104875198628495360,1,PRES
CR104897188861050880,1,PRES
CR104906259831980032,1,PRES
CR104932648111046656,1,PRES
CR104964808826159104,1,PRES
CR104966458093600768,1,PRES
CR104970031506391040,1,PRES
CR10498892936249344,1,PRES
CR10503565860667392,1,PRES
CR105037926349406208,1,PRES
CR105173166279622656,1,PRES
CR105184161395900416,1,PRES
CR105198455047061504,1,PRES
CR105246283802869760,1,PRES
CR105263875988914176,1,PRES
CR105298785483096064,1,PRES
CR105299060361003008,1,PRES
CR105305382552862720,1,PRES
CR105319401326116864,1,PRES
CR105333694977277952,1,PRES
CR105343040826114048,1,PRES
CR105378774954016768,1,PRES
CR105442546628427776,1,PRES
CR105600051669106688,1,PRES
CR105600876302827520,1,PRES
CR105660524808634368,1,PRES
CR105668496267935744,1,PRES
CR105741613791182848,1,PRES
CR10574484360658944,1,PRES
CR105795764738850816,1,PRES
CR105809233756291072,1,PRES
CR105833972767916032,1,PRES
CR10585479476936704,1,PRES
CR105867232994656256,1,PRES
CR10592076546703360,1,PRES
CR105955743680692224,1,PRES
CR105968113186504704,1,PRES
CR105972511233015808,1,PRES
CR105980036015718400,1,PRES
CR106005496581849088,1,PRES
CR106009069994639360,1,PRES
CR106013193163243520,1,PRES
CR106037382419054592,1,PRES
CR106090708733001728,1,PRES
CR106109675308580864,1,PRES
CR106115447744626688,1,PRES
CR106153930651598848,1,PRES
CR106179219419037696,1,PRES
CR106183617465548800,1,PRES
CR106197636238802944,1,PRES
CR106355965913202688,1,PRES
CR106372183709712384,1,PRES
CR106396922721337344,1,PRES
CR106468940732956672,1,PRES
CR106480760482955264,1,PRES
CR106507148762021888,1,PRES
CR106562948977131520,1,PRES
CR106635791622471680,1,PRES
CR106636616256192512,1,PRES
CR106653658686423040,1,PRES
CR106658606488748032,1,PRES
CR106713856948043776,1,PRES
CR106726776209670144,1,PRES
CR106744093517807616,1,PRES
CR10677013819949056,1,PRES
CR106772405942222848,1,PRES
CR106782026668965888,1,PRES
CR106802642511986688,1,PRES
CR106846897855004672,1,PRES
CR106866139308490752,1,PRES
CR106867513698025472,1,PRES
CR106882906860814336,1,PRES
CR106887304907325440,1,PRES
CR106909295139880960,1,PRES
CR106923588791042048,1,PRES
CR106937882442203136,1,PRES
CR107039312389865472,1,PRES
CR107061027744514048,1,PRES
CR107072847494512640,1,PRES
CR107073122372419584,1,PRES
CR107126998442180608,1,PRES
CR107131396488691712,1,PRES
CR107197367186358272,1,PRES
CR107203139622404096,1,PRES
CR107221556442169344,1,PRES
CR10724017942036480,1,PRES
CR107347175645642752,1,PRES
CR107360094907269120,1,PRES
CR107362568808431616,1,PRES
CR107373289046802432,1,PRES
CR107407648785170432,1,PRES
CR107430463651446784,1,PRES
CR107434861697957888,1,PRES
CR107436510965399552,1,PRES
CR10743809151336448,1,PRES
CR107453828273537024,1,PRES
CR107492311180509184,1,PRES
CR107571201139802112,1,PRES
CR107591267227009024,1,PRES
CR107696820343275520,1,PRES
CR107706441070018560,1,PRES
CR107711938628157440,1,PRES
CR1078002431557632,1,PRES
CR107826562715353088,1,PRES
CR107830960761864192,1,PRES
CR107862846599069696,1,PRES
CR107901054628134912,1,PRES
CR107910125599064064,1,PRES
CR107936239000223744,1,PRES
CR107956854843244544,1,PRES
CR107978295319986176,1,PRES
CR107985717023473664,1,PRES
CR108061033569976320,1,PRES
CR108135525482758144,1,PRES
CR108155041814151168,1,PRES
CR108179780825776128,1,PRES
CR108190501064146944,1,PRES
CR108204519837401088,1,PRES
CR108222936657166336,1,PRES
CR108246576157163520,1,PRES
CR108256196883906560,1,PRES
CR108310210392621056,1,PRES
CR108320518314131456,1,PRES
CR108395285104820224,1,PRES
CR108415626069934080,1,PRES
CR108415900947841024,1,PRES
CR108431843866443776,1,PRES
CR108474999697833984,1,PRES
CR108606941093167104,1,PRES
CR108668513744322560,1,PRES
CR108677309837344768,1,PRES
CR108717167133851648,1,PRES
CR108746579069894656,1,PRES
CR108751251994312704,1,PRES
CR108754550529196032,1,PRES
CR108871648517554176,1,PRES
CR109047570377998336,1,PRES
CR109051418668695552,1,PRES
CR109129483994267648,1,PRES
CR109137318014615552,1,PRES
CR109155872273334272,1,PRES
CR109174563971006464,1,PRES
CR109273245139599360,1,PRES
CR109305680732618752,1,PRES
CR109324922186104832,1,PRES
CR109389518494236672,1,PRES
CR109399963854700544,1,PRES
CR109442844808183808,1,PRES
CR1094769983881216,1,PRES
CR10952166604800000,1,PRES
CR109531630372126720,1,PRES
CR10957114407124992,1,PRES
CR10958488796659712,1,PRES
CR109614918377930752,1,PRES
CR109702329552338944,1,PRES
CR109838394116276224,1,PRES
CR109882374581387264,1,PRES
CR109905464325570560,1,PRES
CR109915085052313600,1,PRES
CR109925255534870528,1,PRES
CR109943122598821888,1,PRES
CR109943947232542720,1,PRES
CR109962364052307968,1,PRES
CR109963738441842688,1,PRES
CR109991226232537088,1,PRES
CR110031358406950912,1,PRES
CR110031633284857856,1,PRES
CR110048950592995328,1,PRES
CR110050599860436992,1,PRES
CR110075888627875840,1,PRES
CR110083585209270272,1,PRES
CR110090457156943872,1,PRES
CR110135537133682688,1,PRES
CR110164124436004864,1,PRES
CR110172095895306240,1,PRES
CR110219100017393664,1,PRES
CR110230095133671424,1,PRES
CR110234218302275584,1,PRES
CR11023909738512384,1,PRES
CR110245213418553344,1,PRES
CR110248786831343616,1,PRES
CR11034355098976256,1,PRES
CR110365884819701760,1,PRES
CR110419760889462784,1,PRES
CR110432199114752,1,PRES
CR1104665588531200,1,PRES
CR110471712813875200,1,PRES
CR110539882534797312,1,PRES
CR110594308360372224,1,PRES
CR110677596366176256,1,PRES
CR110701235866173440,1,PRES
CR110711681226637312,1,PRES
CR110758685348724736,1,PRES
CR11082733610598400,1,PRES
CR110829054092902400,1,PRES
CR110900247470800896,1,PRES
CR11090155314085888,1,PRES
CR110919214046380032,1,PRES
CR11092904093155328,1,PRES
CR110933782575448064,1,PRES
CR110972540360327168,1,PRES
CR11098676529201152,1,PRES
CR110987383767302144,1,PRES
CR111022843017297920,1,PRES
CR111039335691714560,1,PRES
CR11109946523385856,1,PRES
CR111155883924258816,1,PRES
CR11117643104780288,1,PRES
CR111181997325418496,1,PRES
CR11119017494315008,1,PRES
CR111217456575414272,1,PRES
CR111249342412619776,1,PRES
CR111280128738197504,1,PRES
CR111311739697496064,1,PRES
CR111353521139351552,1,PRES
CR111360118209118208,1,PRES
CR11136334802452480,1,PRES
CR111422515493994496,1,PRES
CR111483263511429120,1,PRES
CR111712374246866944,1,PRES
CR111720208267214848,1,PRES
CR111855173319524352,1,PRES
CR111934063278817280,1,PRES
CR111944233761374208,1,PRES
CR111952480098582528,1,PRES
CR112003057633460224,1,PRES
CR112019825185783808,1,PRES
CR112054184924151808,1,PRES
CR112134174395072512,1,PRES
CR112139671953211392,1,PRES
CR11215499639652352,1,PRES
CR112166884865998848,1,PRES
CR112168809011347456,1,PRES
CR112197946069483520,1,PRES
CR112221585569480704,1,PRES
CR112225983615991808,1,PRES
CR112235329464827904,1,PRES
CR112283158220636160,1,PRES
CR112288106022961152,1,PRES
CR112307897232261120,1,PRES
CR112354901354348544,1,PRES
CR112364384642138112,1,PRES
CR112376066953183232,1,PRES
CR112398057185738752,1,PRES
CR112407677912481792,1,PRES
CR112423895708991488,1,PRES
CR112426644488060928,1,PRES
CR112468700807823360,1,PRES
CR112486018115960832,1,PRES
CR112488492017123328,1,PRES
CR112553088325255168,1,PRES
CR112702347028725760,1,PRES
CR112724337261281280,1,PRES
CR112729834819420160,1,PRES
CR112798004540342272,1,PRES
CR112798554296156160,1,PRES
CR112799378929876992,1,PRES
CR112846108174057472,1,PRES
CR112870847185682432,1,PRES
CR112900259121725440,1,PRES
CR112907405947305984,1,PRES
CR112919225697304576,1,PRES
CR112940941051953152,1,PRES
CR113108341697282048,1,PRES
CR11317204465221632,1,PRES
CR113187781412388864,1,PRES
CR11319953244291072,1,PRES
CR11322152267546624,1,PRES
CR113274642830983168,1,PRES
CR113294708918190080,1,PRES
CR113322746464698368,1,PRES
CR113377996923994112,1,PRES
CR113383219604226048,1,PRES
CR113393115208876032,1,PRES
CR113403285691432960,1,PRES
CR113491246621655040,1,PRES
CR113500592470491136,1,PRES
CR113524231970488320,1,PRES
CR113541824156532736,1,PRES
CR113555842929786880,1,PRES
CR113622913139081216,1,PRES
CR113671291650703360,1,PRES
CR113672666040238080,1,PRES
CR113751555999531008,1,PRES
CR11380701261725696,1,PRES
CR113964036621598720,1,PRES
CR11397193936142336,1,PRES
CR113986851487875072,1,PRES
CR114015438790197248,1,PRES
CR114030007319265280,1,PRES
CR114039353168101376,1,PRES
CR114066016325074944,1,PRES
CR114104774109954048,1,PRES
CR114130887511113728,1,PRES
CR114157550668087296,1,PRES
CR114172943830876160,1,PRES
CR114199057232035840,1,PRES
CR114255132325052416,1,PRES
CR114258705737842688,1,PRES
CR114297463522721792,1,PRES
CR114307908883185664,1,PRES
CR114349965202948096,1,PRES
CR11447496593113088,1,PRES
CR114480532208746496,1,PRES
CR114501148051767296,1,PRES
CR114526986575020032,1,PRES
CR114589383859896320,1,PRES
CR11464813901250560,1,PRES
CR114660577237794816,1,PRES
CR114840897144750080,1,PRES
CR114842821290098688,1,PRES
CR114909616621486080,1,PRES
CR114935180266831872,1,PRES
CR115012695836590080,1,PRES
CR115037159970308096,1,PRES
CR115045681185423360,1,PRES
CR115097907987742720,1,PRES
CR115122646999367680,1,PRES
CR115183395016802304,1,PRES
CR115230399138889728,1,PRES
CR115243868156329984,1,PRES
CR115282076185395200,1,PRES
CR115396975150497792,1,PRES
CR115401922952822784,1,PRES
CR115405771243520000,1,PRES
CR11541504837287936,1,PRES
CR115452500487700480,1,PRES
CR115472291697000448,1,PRES
CR115472566574907392,1,PRES
CR11558547267518464,1,PRES
CR115613029185355776,1,PRES
CR11565144337285120,1,PRES
CR115660857941164032,1,PRES
CR115687246220230656,1,PRES
CR115704288650461184,1,PRES
CR115718582301622272,1,PRES
CR115724079859761152,1,PRES
CR11574215308214272,1,PRES
CR115775756906266624,1,PRES
CR115806543231844352,1,PRES
CR115874712952766464,1,PRES
CR115896978063228928,1,PRES
CR115908522935320576,1,PRES
CR115929413656248320,1,PRES
CR115989337039962112,1,PRES
CR116031943115538432,1,PRES
CR116037715551584256,1,PRES
CR116061080173674496,1,PRES
CR116063828952743936,1,PRES
CR116084444795764736,1,PRES
CR116105885272506368,1,PRES
CR116135297208549376,1,PRES
CR116138595743432704,1,PRES
CR116144368179478528,1,PRES
CR116211438388772864,1,PRES
CR116267513481789440,1,PRES
CR116276859330625536,1,PRES
CR116296925417832448,1,PRES
CR116317816138760192,1,PRES
CR116383511958519808,1,PRES
CR11640735761694720,1,PRES
CR116414573162004480,1,PRES
CR116454980214325248,1,PRES
CR116457454115487744,1,PRES
CR11646508197740544,1,PRES
CR116493737999204352,1,PRES
CR116530296760827904,1,PRES
CR116555310650359808,1,PRES
CR116563007231754240,1,PRES
CR116638873534070784,1,PRES
CR116694398871273472,1,PRES
CR116699346673598464,1,PRES
CR116770540051496960,1,PRES
CR116804350034051072,1,PRES
CR116811496859631616,1,PRES
CR116830738313117696,1,PRES
CR116846956109627392,1,PRES
CR116869770975903744,1,PRES
CR116875268534042624,1,PRES
CR116900557301481472,1,PRES
CR116926120946827264,1,PRES
CR116927495336361984,1,PRES
CR116929144603803648,1,PRES
CR116983020673564672,1,PRES
CR117068232824717312,1,PRES
CR117070981603786752,1,PRES
CR117094621103783936,1,PRES
CR117186980080517120,1,PRES
CR117194126906097664,1,PRES
CR117269168574693376,1,PRES
CR117272192231669760,1,PRES
CR11728971569823744,1,PRES
CR117393688266539008,1,PRES
CR117399735580491776,1,PRES
CR117402759237468160,1,PRES
CR11741341075636224,1,PRES
CR117440142632812544,1,PRES
CR117443990923509760,1,PRES
CR117475601882808320,1,PRES
CR117478075783970816,1,PRES
CR117512985278152704,1,PRES
CR11758383505866752,1,PRES
CR117586652557213696,1,PRES
CR117694404696735744,1,PRES
CR117725191022313472,1,PRES
CR117738110283939840,1,PRES
CR117751579301380096,1,PRES
CR117805180493234176,1,PRES
CR117826071214161920,1,PRES
CR117835142185091072,1,PRES
CR117845037789741056,1,PRES
CR117931899208335360,1,PRES
CR117933823353683968,1,PRES
CR117937396766474240,1,PRES
CR11798240802373632,1,PRES
CR118058617923436544,1,PRES
CR118166095185051648,1,PRES
CR118171867621097472,1,PRES
CR118194682487373824,1,PRES
CR118196881510629376,1,PRES
CR118218871743184896,1,PRES
CR118225468812951552,1,PRES
CR118243885632716800,1,PRES
CR118314254376894464,1,PRES
CR118332121440845824,1,PRES
CR118408262621069312,1,PRES
CR118420082371067904,1,PRES
CR118424205539672064,1,PRES
CR11843595657019392,1,PRES
CR118444546504785920,1,PRES
CR118457465766412288,1,PRES
CR118491550626873344,1,PRES
CR118547900597796864,1,PRES
CR118548725231517696,1,PRES
CR118590506673373184,1,PRES
CR118606174714068992,1,PRES
CR118642733475692544,1,PRES
CR118705680516382720,1,PRES
CR118745537812889600,1,PRES
CR118758457074515968,1,PRES
CR118763404876840960,1,PRES
CR118801612905906176,1,PRES
CR118820304603578368,1,PRES
CR118830200208228352,1,PRES
CR118864010190782464,1,PRES
CR118875829940781056,1,PRES
CR11888675633758208,1,PRES
CR11889500267479040,1,PRES
CR118900568952406016,1,PRES
CR11893348558176256,1,PRES
CR118954994777980928,1,PRES
CR118970937696583680,1,PRES
CR1189877739683840,1,PRES
CR118990728905883648,1,PRES
CR119064671062851584,1,PRES
CR119096556900057088,1,PRES
CR11911902816894976,1,PRES
CR119171323690745856,1,PRES
CR119224100248879104,1,PRES
CR119263132911665152,1,PRES
CR119270829493059584,1,PRES
CR119286222655848448,1,PRES
CR119300791184916480,1,PRES
CR119443177940713472,1,PRES
CR119487158405824512,1,PRES
CR119593261277904896,1,PRES
CR119601507615113216,1,PRES
CR119621573702320128,1,PRES
CR119630369795342336,1,PRES
CR119661705876733952,1,PRES
CR119715307068588032,1,PRES
CR119716681458122752,1,PRES
CR119744993882537984,1,PRES
CR119755714120908800,1,PRES
CR119786775324393472,1,PRES
CR119790623615090688,1,PRES
CR119805467022065664,1,PRES
CR119815362626715648,1,PRES
CR119830755789504512,1,PRES
CR119866764795314176,1,PRES
CR11992854360489984,1,PRES
CR119929986713911296,1,PRES
CR119942081341816832,1,PRES
CR119955275481350144,1,PRES
CR120015473742970880,1,PRES
CR120046534946455552,1,PRES
CR120053269455175680,1,PRES
CR120081444440637440,1,PRES
CR120105908574355456,1,PRES
CR120164457568534528,1,PRES
CR120303820667355136,1,PRES
CR120306844324331520,1,PRES
CR120329934068514816,1,PRES
CR120331583335956480,1,PRES
CR120367317463859200,1,PRES
CR120434662551060480,1,PRES
CR12044256529088512,1,PRES
CR120470671556870144,1,PRES
CR120472045946404864,1,PRES
CR120531419574304768,1,PRES
CR120552860051046400,1,PRES
CR12061848715132928,1,PRES
CR120727407521955840,1,PRES
CR120811520161480704,1,PRES
CR12083014313967616,1,PRES
CR120832410882408448,1,PRES
CR12083289191874560,1,PRES
CR120850003068452864,1,PRES
CR120862372574265344,1,PRES
CR120931366928908288,1,PRES
CR120996512992854016,1,PRES
CR121000636161458176,1,PRES
CR121066881737031680,1,PRES
CR121098217818423296,1,PRES
CR121101791231213568,1,PRES
CR121131478045163520,1,PRES
CR121155942178881536,1,PRES
CR121167761928880128,1,PRES
CR121222737510268928,1,PRES
CR121240054818406400,1,PRES
CR12137165261635584,1,PRES
CR121397284981178368,1,PRES
CR121431094963732480,1,PRES
CR121432744231174144,1,PRES
CR121436042766057472,1,PRES
CR121453360074194944,1,PRES
CR121475625184657408,1,PRES
CR121487994690469888,1,PRES
CR12151184034889728,1,PRES
CR121538022469533696,1,PRES
CR121549567341625344,1,PRES
CR121557813678833664,1,PRES
CR121577055132319744,1,PRES
CR121598220731154432,1,PRES
CR121624609010221056,1,PRES
CR121665016062541824,1,PRES
CR121697726533468160,1,PRES
CR121715318719512576,1,PRES
CR121765346498576384,1,PRES
CR121784862829969408,1,PRES
CR121801905260199936,1,PRES
CR121831042318336000,1,PRES
CR121857430597402624,1,PRES
CR121859629620658176,1,PRES
CR121961884202041344,1,PRES
CR122100972422955008,1,PRES
CR122157322393878528,1,PRES
CR122190307742711808,1,PRES
CR122192781643874304,1,PRES
CR122207899928756224,1,PRES
CR122223293091545088,1,PRES
CR12223751802322944,1,PRES
CR122264249899679744,1,PRES
CR122268647946190848,1,PRES
CR122292562324094976,1,PRES
CR122364855213621248,1,PRES
CR122400314463617024,1,PRES
CR122467384672911360,1,PRES
CR122474256620584960,1,PRES
CR122505592701976576,1,PRES
CR122549023411273728,1,PRES
CR122563317062434816,1,PRES
CR122610321184522240,1,PRES
CR122689486021722112,1,PRES
CR12271030802317312,1,PRES
CR122715874300788736,1,PRES
CR12274329337200640,1,PRES
CR122760954277527552,1,PRES
CR122784044021710848,1,PRES
CR122787067678687232,1,PRES
CR122792015481012224,1,PRES
CR122832697411239936,1,PRES
CR122898668108906496,1,PRES
CR122911587370532864,1,PRES
CR122953643690295296,1,PRES
CR122984430015873024,1,PRES
CR123039405597261824,1,PRES
CR123039955353075712,1,PRES
CR123052324858888192,1,PRES
CR123082011672838144,1,PRES
CR123086134841442304,1,PRES
CR123146333103063040,1,PRES
CR123161176510038016,1,PRES
CR123168323335618560,1,PRES
CR123175470161199104,1,PRES
CR123192237713522688,1,PRES
CR123249137440260096,1,PRES
CR123257933533282304,1,PRES
CR123263431091421184,1,PRES
CR123285421323976704,1,PRES
CR123304662777462784,1,PRES
CR12337826133704704,1,PRES
CR123427808079773696,1,PRES
CR123445950021632000,1,PRES
CR123547379969294336,1,PRES
CR1235507472236544,1,PRES
CR12359816366260224,1,PRES
CR123637539922771968,1,PRES
CR12364489290678272,1,PRES
CR12365313924399104,1,PRES
CR123745017184387072,1,PRES
CR123776078387871744,1,PRES
CR123812362271588352,1,PRES
CR123817859829727232,1,PRES
CR123839575184375808,1,PRES
CR12384555377885184,1,PRES
CR123876958579720192,1,PRES
CR123881631504138240,1,PRES
CR123930559771574272,1,PRES
CR123948426835525632,1,PRES
CR123961620975058944,1,PRES
CR124003402416914432,1,PRES
CR124051780928536576,1,PRES
CR124071297259929600,1,PRES
CR124132869911085056,1,PRES
CR12415066825555968,1,PRES
CR124155135021547520,1,PRES
CR12417540726718464,1,PRES
CR124200489876193280,1,PRES
CR124243095951769600,1,PRES
CR124263711794790400,1,PRES
CR12427161453461504,1,PRES
CR124313464695947264,1,PRES
CR124318962254086144,1,PRES
CR124412970498260992,1,PRES
CR124495158992437248,1,PRES
CR124524570928480256,1,PRES
CR12452725098807296,1,PRES
CR124528694097084416,1,PRES
CR12454374366248960,1,PRES
CR124549859695919104,1,PRES
CR124553707986616320,1,PRES
CR124594939672657920,1,PRES
CR124611432347074560,1,PRES
CR124673004998230016,1,PRES
CR12474440453455872,1,PRES
CR124801922736586752,1,PRES
CR124815116876120064,1,PRES
CR124868992945881088,1,PRES
CR124917371457503232,1,PRES
CR12492032639500288,1,PRES
CR124974271184240640,1,PRES
CR125012754091212800,1,PRES
CR125122430376083456,1,PRES
CR125137273783058432,1,PRES
CR125147444265615360,1,PRES
